date,time,qty.dispensed,ili.rate,drug.shortages,drug.rcs,season,temperature,humidity,weather
1/1/2024,0:00,15,0.7,1,104,Winter,35.7,44,clear
1/1/2024,6:00,21,1.6,0,103,Winter,36.5,49,clear
1/1/2024,12:00,23,2.1,0,108,Winter,22.4,50,clouds
1/1/2024,18:00,41,2.9,0,151,Winter,24.3,82,rain
1/2/2024,0:00,23,3.8,0,115,Winter,25.8,88,snow
1/2/2024,6:00,28,2.8,1,139,Winter,27.7,85,rain
1/2/2024,12:00,17,0.4,0,139,Winter,27.8,45,clear
1/2/2024,18:00,23,2.6,0,121,Winter,31,55,clouds
1/3/2024,0:00,24,2.1,0,129,Winter,27,59,clouds
1/3/2024,6:00,25,2.2,0,124,Winter,35.8,51,clouds
1/3/2024,12:00,22,3.7,0,125,Winter,32.1,89,rain
1/3/2024,18:00,27,2.2,0,139,Winter,33.2,62,clouds
1/4/2024,0:00,15,0.6,0,110,Winter,41.1,48,clear
1/4/2024,6:00,29,3.6,0,102,Winter,28.5,81,snow
1/4/2024,12:00,12,0.9,0,105,Winter,34.1,50,clear
1/4/2024,18:00,15,1.8,0,102,Winter,25,43,clear
1/5/2024,0:00,11,0.7,0,123,Winter,34.8,69,clouds
1/5/2024,6:00,26,3.6,0,115,Winter,30.1,76,snow
1/5/2024,12:00,22,2.2,0,141,Winter,25.5,84,rain
1/5/2024,18:00,22,0.8,1,123,Winter,39.1,47,clear
1/6/2024,0:00,31,5.1,0,129,Winter,28.2,79,snow
1/6/2024,6:00,17,1.7,0,116,Winter,22.8,64,clouds
1/6/2024,12:00,12,0.6,0,125,Winter,22.1,43,clear
1/6/2024,18:00,43,4.4,1,99,Winter,32.1,93,snow
1/7/2024,0:00,25,2.6,0,145,Winter,42.1,49,clouds
1/7/2024,6:00,19,2.9,0,112,Winter,22.5,84,rain
1/7/2024,12:00,12,0.1,0,127,Winter,36.8,31,clear
1/7/2024,18:00,27,3.2,0,140,Winter,25.4,62,rain
1/8/2024,0:00,32,3.8,0,110,Winter,34.5,78,snow
1/8/2024,6:00,21,1.5,0,111,Winter,47.7,32,clear
1/8/2024,12:00,21,2.2,0,109,Winter,31.9,41,clouds
1/8/2024,18:00,19,3.5,1,124,Winter,41,75,snow
1/9/2024,0:00,14,1.1,0,132,Winter,39.8,42,clear
1/9/2024,6:00,28,3.9,0,133,Winter,42.3,77,snow
1/9/2024,12:00,24,3.2,1,110,Winter,26.3,89,rain
1/9/2024,18:00,34,3,0,143,Winter,38.2,80,snow
1/10/2024,0:00,28,4.1,0,113,Winter,34.1,94,snow
1/10/2024,6:00,20,1.5,0,113,Winter,29.8,35,clear
1/10/2024,12:00,12,0.9,0,88,Winter,33.1,40,clear
1/10/2024,18:00,26,2.8,0,135,Winter,33.2,74,rain
1/11/2024,0:00,15,1.6,0,120,Winter,37.8,38,clear
1/11/2024,6:00,10,0.3,0,88,Winter,24.6,44,clear
1/11/2024,12:00,32,2.8,0,153,Winter,32.9,47,clouds
1/11/2024,18:00,24,4.5,0,125,Winter,28.6,86,snow
1/12/2024,0:00,24,2.4,0,102,Winter,21.6,65,clouds
1/12/2024,6:00,23,3.6,0,151,Winter,34.1,94,snow
1/12/2024,12:00,15,1,0,132,Winter,36.6,38,clear
1/12/2024,18:00,20,2.5,1,144,Winter,32.6,62,clouds
1/13/2024,0:00,28,4.1,1,103,Winter,33,90,snow
1/13/2024,6:00,8,0.2,0,114,Winter,19.7,37,clear
1/13/2024,12:00,35,3.9,0,124,Winter,27.9,83,snow
1/13/2024,18:00,29,4.7,0,122,Winter,32.2,74,snow
1/14/2024,0:00,17,1.2,0,143,Winter,23.2,34,clear
1/14/2024,6:00,34,3.6,0,136,Winter,28.4,80,snow
1/14/2024,12:00,17,1,0,97,Winter,33.1,45,clear
1/14/2024,18:00,20,1.9,0,116,Winter,23.8,82,rain
1/15/2024,0:00,23,2.5,0,104,Winter,31,60,clouds
1/15/2024,6:00,37,4,1,141,Winter,26.4,83,snow
1/15/2024,12:00,18,1.5,0,121,Winter,34,64,clouds
1/15/2024,18:00,35,5.3,0,121,Winter,17.5,81,snow
1/16/2024,0:00,33,4,1,130,Winter,28.5,90,snow
1/16/2024,6:00,24,2.5,1,107,Winter,28.2,64,rain
1/16/2024,12:00,12,0.5,0,132,Winter,31.1,33,clear
1/16/2024,18:00,29,4.3,1,124,Winter,36,79,snow
1/17/2024,0:00,32,2.6,1,119,Winter,36.4,48,clouds
1/17/2024,6:00,16,1.1,0,110,Winter,39.3,38,clear
1/17/2024,12:00,17,2.1,0,120,Winter,29.3,54,clouds
1/17/2024,18:00,16,1.6,0,129,Winter,36.7,36,clear
1/18/2024,0:00,25,3.6,0,143,Winter,30.7,71,snow
1/18/2024,6:00,19,1.9,1,123,Winter,28.7,41,clear
1/18/2024,12:00,13,2.1,0,121,Winter,35,83,rain
1/18/2024,18:00,19,2.5,0,118,Winter,34.9,61,rain
1/19/2024,0:00,20,0.7,0,133,Winter,42,30,clear
1/19/2024,6:00,22,3.5,1,137,Winter,22.8,65,rain
1/19/2024,12:00,31,3.5,0,120,Winter,34.3,91,snow
1/19/2024,18:00,6,0.7,0,90,Winter,34,37,clear
1/20/2024,0:00,18,2.4,0,105,Winter,17.4,61,rain
1/20/2024,6:00,27,2.7,0,122,Winter,34.5,50,clouds
1/20/2024,12:00,25,3.5,0,117,Winter,17.4,83,rain
1/20/2024,18:00,29,3.6,1,133,Winter,21.5,89,rain
1/21/2024,0:00,18,3,0,142,Winter,37.6,65,clouds
1/21/2024,6:00,17,2,0,115,Winter,44.9,52,clear
1/21/2024,12:00,16,0.7,0,113,Winter,26.7,30,clear
1/21/2024,18:00,15,0.3,0,120,Winter,13.9,39,clear
1/22/2024,0:00,23,2.7,1,105,Winter,28.3,64,rain
1/22/2024,6:00,18,2.4,0,113,Winter,21.1,77,rain
1/22/2024,12:00,18,0.7,0,133,Winter,17.2,36,clear
1/22/2024,18:00,24,3.4,0,119,Winter,37.3,81,snow
1/23/2024,0:00,7,0.4,0,89,Winter,34.5,47,clear
1/23/2024,6:00,35,3.6,1,142,Winter,24.5,80,rain
1/23/2024,12:00,30,4.1,0,106,Winter,26.6,84,snow
1/23/2024,18:00,13,1.8,1,90,Winter,30.9,31,clear
1/24/2024,0:00,24,3.3,0,128,Winter,38.7,81,snow
1/24/2024,6:00,15,1.8,0,108,Winter,31.5,53,clouds
1/24/2024,12:00,11,0.9,0,102,Winter,40.6,31,clear
1/24/2024,18:00,25,3.8,0,120,Winter,36,92,snow
1/25/2024,0:00,18,1.1,0,108,Winter,30.8,51,clear
1/25/2024,6:00,25,3.5,1,123,Winter,35.8,74,snow
1/25/2024,12:00,22,3.5,0,135,Winter,30,87,rain
1/25/2024,18:00,32,3.6,0,137,Winter,24.3,89,snow
1/26/2024,0:00,20,1.8,1,105,Winter,23.2,48,clouds
1/26/2024,6:00,23,4.3,0,127,Winter,29,80,snow
1/26/2024,12:00,22,3,1,108,Winter,29.3,74,rain
1/26/2024,18:00,28,4.5,0,119,Winter,33.3,70,snow
1/27/2024,0:00,22,1.5,0,140,Winter,33.1,46,clear
1/27/2024,6:00,14,0.6,0,108,Winter,24.1,40,clear
1/27/2024,12:00,18,1.4,0,98,Winter,34.2,56,clouds
1/27/2024,18:00,20,2,0,90,Winter,33.3,67,clouds
1/28/2024,0:00,18,1.6,0,113,Winter,38.5,48,clear
1/28/2024,6:00,24,3,0,113,Winter,21.4,67,rain
1/28/2024,12:00,13,0.6,0,111,Winter,41.8,30,clear
1/28/2024,18:00,24,4,0,106,Winter,29.2,87,snow
1/29/2024,0:00,24,2.7,0,137,Winter,25,67,rain
1/29/2024,6:00,24,3.3,1,128,Winter,37.6,82,snow
1/29/2024,12:00,10,0.9,0,113,Winter,28,47,clear
1/29/2024,18:00,13,1.4,0,105,Winter,22.6,35,clear
1/30/2024,0:00,16,1.4,0,117,Winter,23.4,51,clear
1/30/2024,6:00,11,1,0,111,Winter,33.9,30,clear
1/30/2024,12:00,27,4,0,119,Winter,26.8,89,snow
1/30/2024,18:00,8,1,0,131,Winter,25.9,30,clear
1/31/2024,0:00,26,3.6,0,109,Winter,30.4,72,snow
1/31/2024,6:00,25,2.3,1,126,Winter,30.3,87,rain
1/31/2024,12:00,23,1.9,0,126,Winter,32.9,57,clouds
1/31/2024,18:00,22,2.8,0,118,Winter,25.7,69,rain
2/1/2024,0:00,12,1.2,0,133,Winter,38.7,38,clear
2/1/2024,6:00,20,1.9,0,119,Winter,27.4,51,clear
2/1/2024,12:00,7,0.3,1,98,Winter,21.3,30,clear
2/1/2024,18:00,23,2.3,0,118,Winter,28.5,53,clouds
2/2/2024,0:00,18,1.9,0,119,Winter,24.1,30,clear
2/2/2024,6:00,35,4.3,0,135,Winter,32.9,77,snow
2/2/2024,12:00,12,0.6,0,90,Winter,35,30,clear
2/2/2024,18:00,20,2.3,0,129,Winter,39.6,69,clouds
2/3/2024,0:00,29,3.6,0,137,Winter,27.1,73,rain
2/3/2024,6:00,25,4.6,0,127,Winter,35.2,87,snow
2/3/2024,12:00,23,1.8,1,115,Winter,23.3,46,clouds
2/3/2024,18:00,24,3.4,0,135,Winter,24.9,78,snow
2/4/2024,0:00,15,1.7,1,109,Winter,30.9,45,clouds
2/4/2024,6:00,7,0.7,0,113,Winter,14.2,54,clear
2/4/2024,12:00,32,3.4,1,133,Winter,36.8,86,rain
2/4/2024,18:00,28,2.9,0,138,Winter,31.3,85,rain
2/5/2024,0:00,28,3.3,0,139,Winter,26.6,88,rain
2/5/2024,6:00,11,0.8,0,128,Winter,40.5,44,clear
2/5/2024,12:00,12,1.5,1,148,Winter,19.5,47,clear
2/5/2024,18:00,18,1.4,0,132,Winter,45.2,51,clear
2/6/2024,0:00,26,2.5,0,140,Winter,23.3,61,clouds
2/6/2024,6:00,36,3.9,0,115,Winter,27.3,79,snow
2/6/2024,12:00,7,0.4,0,99,Winter,35.5,44,clear
2/6/2024,18:00,32,3.9,0,124,Winter,28.9,71,snow
2/7/2024,0:00,17,0.6,0,116,Winter,30.9,50,clear
2/7/2024,6:00,25,3.6,0,133,Winter,43,92,snow
2/7/2024,12:00,34,3.3,0,113,Winter,25.2,89,snow
2/7/2024,18:00,16,4,0,123,Winter,29.8,71,snow
2/8/2024,0:00,15,1.2,0,128,Winter,34.1,38,clear
2/8/2024,6:00,30,3.9,0,122,Winter,21.9,82,rain
2/8/2024,12:00,17,1.8,1,134,Winter,22.3,66,clouds
2/8/2024,18:00,24,3.7,0,144,Winter,35.2,82,snow
2/9/2024,0:00,40,3.2,0,121,Winter,22.3,60,rain
2/9/2024,6:00,30,3.8,0,123,Winter,24.3,78,rain
2/9/2024,12:00,14,1.9,0,93,Winter,25.8,40,clouds
2/9/2024,18:00,25,2.6,0,129,Winter,20.1,64,clouds
2/10/2024,0:00,17,1.7,0,105,Winter,35.5,50,clouds
2/10/2024,6:00,20,1.8,0,90,Winter,32.6,49,clear
2/10/2024,12:00,26,1.8,0,115,Winter,34.1,45,clear
2/10/2024,18:00,17,2.1,0,112,Winter,23.9,64,clouds
2/11/2024,0:00,33,4.7,0,140,Winter,30.6,73,snow
2/11/2024,6:00,12,0.3,1,114,Winter,28.3,49,clear
2/11/2024,12:00,39,4.5,0,135,Winter,36.8,76,snow
2/11/2024,18:00,42,4.6,0,145,Winter,31.5,72,snow
2/12/2024,0:00,30,4.4,0,138,Winter,22.8,84,snow
2/12/2024,6:00,31,4.4,1,133,Winter,30.8,80,snow
2/12/2024,12:00,42,3.6,0,117,Winter,29.7,74,snow
2/12/2024,18:00,12,0.9,0,102,Winter,12.9,48,clear
2/13/2024,0:00,12,1.4,0,121,Winter,31.7,53,clouds
2/13/2024,6:00,17,1.4,1,120,Winter,28.5,63,clouds
2/13/2024,12:00,13,1.3,0,117,Winter,39.6,32,clear
2/13/2024,18:00,22,3.6,0,140,Winter,35.8,63,rain
2/14/2024,0:00,24,3.3,1,119,Winter,20.9,67,rain
2/14/2024,6:00,30,4.1,0,103,Winter,31.3,77,snow
2/14/2024,12:00,14,1.2,0,118,Winter,35,46,clouds
2/14/2024,18:00,19,1.4,0,132,Winter,34.5,54,clear
2/15/2024,0:00,30,3.3,0,120,Winter,18.2,87,rain
2/15/2024,6:00,28,4.1,0,136,Winter,26.7,71,snow
2/15/2024,12:00,23,3.6,0,137,Winter,26.9,82,snow
2/15/2024,18:00,34,3.9,0,123,Winter,31.3,90,snow
2/16/2024,0:00,16,0.8,0,109,Winter,27.1,37,clear
2/16/2024,6:00,37,4.2,0,114,Winter,30.9,70,snow
2/16/2024,12:00,11,0.8,0,94,Winter,28,42,clear
2/16/2024,18:00,33,4.1,0,147,Winter,34.3,80,snow
2/17/2024,0:00,7,0.6,0,104,Winter,41.8,41,clear
2/17/2024,6:00,21,2.7,0,122,Winter,27.4,41,clouds
2/17/2024,12:00,17,1.1,0,135,Winter,42.4,52,clear
2/17/2024,18:00,32,3.1,0,139,Winter,36,63,rain
2/18/2024,0:00,21,3.4,0,149,Winter,29.2,85,snow
2/18/2024,6:00,29,3.4,1,136,Winter,14.4,70,rain
2/18/2024,12:00,24,4.3,0,137,Winter,32.3,74,snow
2/18/2024,18:00,26,1.3,0,109,Winter,36.8,53,clear
2/19/2024,0:00,34,4.1,0,152,Winter,28.4,84,snow
2/19/2024,6:00,34,4.3,0,142,Winter,30.4,90,snow
2/19/2024,12:00,21,0.9,0,143,Winter,30,66,clouds
2/19/2024,18:00,20,1.4,0,133,Winter,29.7,49,clouds
2/20/2024,0:00,26,2.6,0,136,Winter,18.5,65,clouds
2/20/2024,6:00,25,3,1,114,Winter,35.9,61,rain
2/20/2024,12:00,8,0.4,0,119,Winter,28.8,40,clear
2/20/2024,18:00,23,3.3,0,112,Winter,31,66,rain
2/21/2024,0:00,23,3.4,0,115,Winter,36.4,85,snow
2/21/2024,6:00,13,1.3,0,126,Winter,45.6,38,clear
2/21/2024,12:00,18,1.2,0,121,Winter,33.4,36,clear
2/21/2024,18:00,41,3.9,1,137,Winter,32.8,86,snow
2/22/2024,0:00,24,3.4,0,118,Winter,29.2,87,rain
2/22/2024,6:00,17,1,0,105,Winter,50.1,51,clear
2/22/2024,12:00,32,4.5,1,108,Winter,36.2,79,snow
2/22/2024,18:00,14,1.2,0,120,Winter,30.4,54,clear
2/23/2024,0:00,34,4.1,0,132,Winter,32.4,75,snow
2/23/2024,6:00,22,1.9,0,107,Winter,45.4,47,clear
2/23/2024,12:00,16,1.2,1,99,Winter,38.3,38,clear
2/23/2024,18:00,17,2.7,0,140,Winter,33.2,54,clouds
2/24/2024,0:00,31,3.6,0,105,Winter,25.9,72,snow
2/24/2024,6:00,26,1.9,0,138,Winter,27.6,43,clouds
2/24/2024,12:00,33,4.1,1,164,Winter,29.4,83,snow
2/24/2024,18:00,35,3.4,0,103,Winter,39.9,90,snow
2/25/2024,0:00,28,4.8,0,105,Winter,30.6,87,snow
2/25/2024,6:00,23,4.1,1,121,Winter,32.3,84,snow
2/25/2024,12:00,10,1.2,0,110,Winter,18,39,clear
2/25/2024,18:00,16,1.5,0,106,Winter,23,44,clear
2/26/2024,0:00,31,3.6,1,126,Winter,30.6,72,snow
2/26/2024,6:00,15,1.7,0,130,Winter,26.1,69,clouds
2/26/2024,12:00,12,1.8,0,116,Winter,34.6,45,clouds
2/26/2024,18:00,25,3.3,0,125,Winter,35.1,77,snow
2/27/2024,0:00,16,2.4,0,92,Winter,30.1,66,clouds
2/27/2024,6:00,25,3.2,0,124,Winter,14.3,67,rain
2/27/2024,12:00,20,4.2,0,121,Winter,28.3,80,snow
2/27/2024,18:00,12,0.6,0,102,Winter,45.3,39,clear
2/28/2024,0:00,34,4.3,0,133,Winter,43.1,85,snow
2/28/2024,6:00,27,4.4,0,127,Winter,32,81,snow
2/28/2024,12:00,35,3.8,0,139,Winter,24.3,80,snow
2/28/2024,18:00,28,2.8,0,128,Winter,12.1,73,rain
2/29/2024,0:00,10,0.5,0,118,Winter,31.5,46,clear
2/29/2024,6:00,19,1.5,0,121,Winter,35.9,39,clear
2/29/2024,12:00,13,0.8,0,132,Winter,35.9,33,clear
2/29/2024,18:00,18,1.4,0,114,Winter,32.9,39,clear
3/1/2024,0:00,23,2.7,0,129,Spring,43.1,86,rain
3/1/2024,6:00,36,3.3,0,133,Spring,53.4,73,rain
3/1/2024,12:00,13,2.3,0,125,Spring,55.5,47,clouds
3/1/2024,18:00,23,1.5,0,112,Spring,50.4,33,clear
3/2/2024,0:00,25,2.3,0,81,Spring,50.8,82,rain
3/2/2024,6:00,8,0.5,0,109,Spring,49.9,38,clear
3/2/2024,12:00,26,3.6,0,118,Spring,39.9,66,rain
3/2/2024,18:00,18,1.2,1,157,Spring,58.1,49,clear
3/3/2024,0:00,10,0.3,0,108,Spring,54.1,53,clear
3/3/2024,6:00,18,2.5,0,124,Spring,48.1,64,rain
3/3/2024,12:00,13,1,0,107,Spring,65.7,30,clear
3/3/2024,18:00,24,1.2,0,83,Spring,57.9,60,clouds
3/4/2024,0:00,18,2.7,0,91,Spring,63,55,clouds
3/4/2024,6:00,19,0.8,0,126,Spring,58.6,36,clear
3/4/2024,12:00,18,2.3,0,112,Spring,50.5,85,rain
3/4/2024,18:00,26,2,0,111,Spring,62.7,43,clouds
3/5/2024,0:00,12,0.7,0,93,Spring,55.6,32,clear
3/5/2024,6:00,22,1.4,0,113,Spring,63.9,53,clear
3/5/2024,12:00,24,1.7,0,109,Spring,54,66,clouds
3/5/2024,18:00,15,0.9,0,127,Spring,54.7,39,clear
3/6/2024,0:00,20,0.5,0,120,Spring,47.3,30,clear
3/6/2024,6:00,28,4,0,151,Spring,54.6,87,rain
3/6/2024,12:00,15,1,0,122,Spring,72.8,53,clear
3/6/2024,18:00,15,1.1,0,80,Spring,45.9,43,clouds
3/7/2024,0:00,18,1,1,125,Spring,59.6,30,clear
3/7/2024,6:00,18,1.8,0,83,Spring,47.5,47,clear
3/7/2024,12:00,9,0.6,0,132,Spring,50.8,52,clouds
3/7/2024,18:00,22,1.3,0,133,Spring,52.6,50,clear
3/8/2024,0:00,30,3.3,0,118,Spring,44,81,rain
3/8/2024,6:00,25,2.8,0,121,Spring,41,55,clouds
3/8/2024,12:00,28,3.7,0,113,Spring,37.1,84,rain
3/8/2024,18:00,18,0.8,0,104,Spring,47.4,37,clear
3/9/2024,0:00,14,0.8,0,105,Spring,61.6,46,clear
3/9/2024,6:00,16,1.2,0,136,Spring,63,43,clear
3/9/2024,12:00,15,1.5,0,114,Spring,75.6,34,clear
3/9/2024,18:00,27,3.1,0,136,Spring,63.1,77,rain
3/10/2024,0:00,16,3.1,0,124,Spring,49.7,82,rain
3/10/2024,6:00,16,0.8,0,108,Spring,51.9,53,clear
3/10/2024,12:00,19,1.6,0,91,Spring,55.7,61,clouds
3/10/2024,18:00,14,1,0,95,Spring,45.4,38,clear
3/11/2024,0:00,21,2.4,0,92,Spring,53.7,67,rain
3/11/2024,6:00,20,1.6,0,131,Spring,58.2,45,clouds
3/11/2024,12:00,19,1.5,0,84,Spring,59.1,40,clear
3/11/2024,18:00,14,1.7,0,127,Spring,49.5,30,clear
3/12/2024,0:00,31,3.5,0,131,Spring,36.8,77,rain
3/12/2024,6:00,11,0.5,0,98,Spring,50.5,44,clear
3/12/2024,12:00,18,1,0,129,Spring,57.6,52,clear
3/12/2024,18:00,15,1.4,0,106,Spring,51.2,56,clouds
3/13/2024,0:00,25,1.8,0,95,Spring,69.4,38,clear
3/13/2024,6:00,10,0.3,0,83,Spring,54.7,49,clear
3/13/2024,12:00,25,1.6,0,126,Spring,42.6,42,clouds
3/13/2024,18:00,17,2.2,1,92,Spring,43.9,61,rain
3/14/2024,0:00,21,2.1,0,104,Spring,55.1,58,clouds
3/14/2024,6:00,18,0.8,0,123,Spring,59.5,46,clear
3/14/2024,12:00,23,3.7,0,112,Spring,58.1,86,rain
3/14/2024,18:00,24,3.2,0,126,Spring,51.2,61,rain
3/15/2024,0:00,30,2.2,0,122,Spring,51.3,62,clouds
3/15/2024,6:00,18,1.4,0,131,Spring,45.3,46,clear
3/15/2024,12:00,15,1.3,0,85,Spring,58.2,35,clear
3/15/2024,18:00,17,2.8,0,116,Spring,56.5,52,clouds
3/16/2024,0:00,19,0.5,1,136,Spring,44.9,32,clear
3/16/2024,6:00,36,2.2,0,137,Spring,32.7,78,rain
3/16/2024,12:00,13,1.6,0,114,Spring,54,41,clear
3/16/2024,18:00,15,0.5,0,105,Spring,57,42,clear
3/17/2024,0:00,15,2.1,0,96,Spring,55.9,60,clouds
3/17/2024,6:00,15,2.1,1,118,Spring,61,41,clear
3/17/2024,12:00,17,0.9,0,131,Spring,54,46,clear
3/17/2024,18:00,22,1.3,1,104,Spring,66.4,53,clear
3/18/2024,0:00,19,0.6,0,120,Spring,71.6,38,clear
3/18/2024,6:00,26,2.3,0,127,Spring,50.8,83,rain
3/18/2024,12:00,22,2.6,0,123,Spring,54.4,45,clouds
3/18/2024,18:00,23,3,0,143,Spring,45.5,80,rain
3/19/2024,0:00,10,1.4,0,90,Spring,58.1,67,clouds
3/19/2024,6:00,16,1,0,107,Spring,56.1,44,clear
3/19/2024,12:00,20,2.4,0,148,Spring,49,51,clouds
3/19/2024,18:00,19,1.9,1,100,Spring,60.9,68,clouds
3/20/2024,0:00,23,3.2,0,103,Spring,52.7,89,rain
3/20/2024,6:00,21,2,0,109,Spring,56.3,68,clouds
3/20/2024,12:00,14,0.7,0,133,Spring,75,50,clear
3/20/2024,18:00,30,2.4,0,136,Spring,46.7,59,clouds
3/21/2024,0:00,17,1.4,0,131,Spring,51.3,42,clouds
3/21/2024,6:00,19,2.2,0,144,Spring,51.6,63,rain
3/21/2024,12:00,29,3.1,0,118,Spring,54.8,85,rain
3/21/2024,18:00,25,3.5,0,142,Spring,35.7,86,rain
3/22/2024,0:00,20,2,0,128,Spring,44.8,64,rain
3/22/2024,6:00,24,2.9,0,130,Spring,53.8,79,rain
3/22/2024,12:00,14,0.3,0,105,Spring,57.5,48,clear
3/22/2024,18:00,30,3.6,0,144,Spring,51.5,62,rain
3/23/2024,0:00,16,2,0,148,Spring,49.2,44,clouds
3/23/2024,6:00,16,1.1,0,138,Spring,44.7,52,clear
3/23/2024,12:00,9,0.9,0,134,Spring,49.5,30,clear
3/23/2024,18:00,13,0.8,0,101,Spring,50.3,38,clear
3/24/2024,0:00,16,1.5,0,124,Spring,38.8,73,rain
3/24/2024,6:00,17,2,0,115,Spring,52.8,56,clouds
3/24/2024,12:00,25,3,0,114,Spring,50,69,rain
3/24/2024,18:00,15,1.4,0,93,Spring,55.6,51,clouds
3/25/2024,0:00,18,1.3,1,104,Spring,70.9,54,clear
3/25/2024,6:00,11,1.3,0,108,Spring,57.6,34,clear
3/25/2024,12:00,34,3,0,138,Spring,61.1,82,rain
3/25/2024,18:00,29,2.5,0,118,Spring,52,77,rain
3/26/2024,0:00,9,0.7,0,105,Spring,62.6,51,clear
3/26/2024,6:00,23,3,0,147,Spring,49.6,87,rain
3/26/2024,12:00,19,1.7,0,114,Spring,55.3,58,clouds
3/26/2024,18:00,20,2.7,0,133,Spring,55.4,59,clouds
3/27/2024,0:00,21,1.7,0,87,Spring,52.5,49,clouds
3/27/2024,6:00,18,1.6,0,107,Spring,61,45,clouds
3/27/2024,12:00,10,0.2,0,110,Spring,58.9,31,clear
3/27/2024,18:00,9,0.8,0,87,Spring,41.3,48,clear
3/28/2024,0:00,25,2.9,0,124,Spring,61.7,68,clouds
3/28/2024,6:00,20,3.4,0,109,Spring,47.3,63,rain
3/28/2024,12:00,15,0.7,0,115,Spring,64.9,52,clear
3/28/2024,18:00,21,2.4,0,133,Spring,46.6,74,rain
3/29/2024,0:00,22,0.8,1,104,Spring,42.1,52,clear
3/29/2024,6:00,14,0.9,0,119,Spring,55.7,39,clear
3/29/2024,12:00,21,2,0,113,Spring,52.4,64,clouds
3/29/2024,18:00,14,0.7,0,78,Spring,50.2,33,clear
3/30/2024,0:00,28,3.4,0,141,Spring,49.8,71,rain
3/30/2024,6:00,15,0.8,0,110,Spring,68.1,40,clear
3/30/2024,12:00,24,2.5,1,142,Spring,45,58,clouds
3/30/2024,18:00,17,2.1,0,127,Spring,49,61,clouds
3/31/2024,0:00,27,3,0,147,Spring,61,64,rain
3/31/2024,6:00,32,3.5,0,121,Spring,43.5,63,rain
